OA11CD,Total,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
E00016369,310,273,10,11,16,0
E00016370,317,281,15,12,9,0
E00016371,255,208,34,11,2,0
E00016374,265,236,11,8,9,1
E00016352,271,244,15,10,2,0
E00016373,281,251,15,12,3,0
E00016378,289,253,15,15,4,2
E00016381,312,266,14,22,9,1
E00016382,242,211,15,10,4,2
E00016348,227,193,13,19,2,0
E00016372,286,261,10,10,5,0
E00016375,240,211,18,8,3,0
E00016377,274,250,12,10,2,0
E00016379,294,259,14,17,3,1
E00016349,288,259,12,11,6,0
E00016351,484,433,17,26,7,1
E00016376,262,243,8,9,1,1
E00016383,328,296,14,14,4,0
E00016356,369,311,24,18,15,1
E00016387,340,300,25,9,6,0
E00016393,294,246,23,13,8,4
E00165790,248,216,13,9,8,2
E00016361,213,186,9,15,2,1
E00016363,307,267,20,9,8,3
E00016366,266,254,3,5,4,0
E00016367,160,158,0,2,0,0
E00016368,287,272,2,11,1,1
E00016353,303,275,13,9,5,1
E00016360,409,368,23,16,2,0
E00016380,225,206,8,8,3,0
E00016389,278,247,12,17,2,0
E00016390,217,187,15,12,3,0
E00016392,257,245,6,6,0,0
E00016359,298,260,17,13,8,0
E00016384,317,251,24,24,18,0
E00016385,363,321,17,19,5,1
E00016386,207,181,13,9,3,1
E00016388,307,254,21,27,5,0
E00016346,235,203,14,15,3,0
E00016354,206,165,8,21,11,1
E00016357,300,239,24,24,12,1
E00016358,243,202,15,17,9,0
E00016391,298,244,15,23,15,1
E00016362,309,277,18,9,4,1
E00016364,266,243,11,7,5,0
E00016365,206,192,4,5,5,0
E00016394,286,262,8,10,4,2
E00165789,271,250,8,8,5,0
E00016678,251,190,21,17,19,4
E00016722,364,302,22,26,10,4
E00016724,274,204,44,16,8,2
E00016727,318,242,27,22,25,2
E00016676,254,198,19,23,11,3
E00016685,301,239,20,22,17,3
E00016690,284,231,18,21,11,3
E00016691,280,207,30,27,11,5
E00016726,170,128,16,17,8,1
E00016688,288,208,31,32,16,1
E00016695,288,217,25,22,17,7
E00016705,238,137,33,46,18,4
E00016710,306,200,44,41,20,1
E00016712,350,228,55,43,18,6
E00016682,227,145,42,32,7,1
E00016686,316,234,33,32,13,4
E00016699,283,215,27,17,21,3
E00016702,293,218,40,29,5,1
E00016707,425,281,50,49,38,7
E00016711,250,159,40,37,13,1
E00016696,227,163,27,25,12,0
E00016698,306,231,39,18,14,4
E00016703,252,191,31,11,17,2
E00016713,392,288,44,33,25,2
E00165804,217,173,17,19,8,0
