LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,NOMINATED_DATE,OR_ASSESSMENT_END_DATE,LODGEMENT_DATETIME,OCCUPANCY_LEVEL
69899460002019092521242485600210,,Forest Hill Pools,Dartmouth Road,SE23 3HZ,608986680000,81,83,87,D,435,270,0,Dry Sports And Leisure Facility; Fitness And Health Centre; Swimming Pool Centre,2019-09-25,E09000023,E14000788,Greater London Authority,2019-09-25,Dry Sports And Leisure Facility,Natural Gas,,,,3788,367,623,209,197,0,0,460,473,273,288,0,0,Yes,,2,1,Heating and Mechanical Ventilation,H8; H7; H6;,"Forest Hill Pools, Dartmouth Road",Lewisham,Lewisham West and Penge,LONDON,2019-10-01,2019-08-31,2019-09-25 21:24:24,Extended Occupancy
9105590802013092411590674300210,,Rathfern Primary School,Rathfern Road,SE6 4NL,881129370000,90,86,57,D,38,36,0,Schools And Seasonal Public Buildings,2013-09-24,E09000023,E14000787,Greater London Authority,2013-09-24,Schools And Seasonal Public Buildings,Natural Gas,,,,1574,117,155,44,40,0,0,31,9,34,36,0,0,No,,,4,Heating and Natural Ventilation,S3;,"Rathfern Primary School, Rathfern Road",Lewisham,Lewisham East,LONDON,2013-11-01,2013-08-30,2013-09-24 11:59:06,Standard Occupancy
9396110022010020217042760020230,,Haberdasher Aske's Knights Temple Grove,72 Ballamore Road,BR1 5LW,368916040000,87,93,,D,24,37,,Schools and seasonal public buildings,2010-02-02,E09000023,E14000787,Greater London Authority,2010-02-02,Schools and seasonal public buildings,Natural Gas,,,,1386,136,146,32,40,0,0,25,,36,,,,No,,,4,Heating and Natural Ventilation,S3;,"Haberdasher Aske's Knights Temple Grove, 72 Ballamore Road",Lewisham,Lewisham East,BROMLEY,2009-10-01,2009-09-30,2010-02-02 17:04:27,
801940022020082113253435280230,,Jobcentre Plus,32-34 Dartmouth Road,SE23 3XU,335846580000,71,79,69,C,70,39,0,General Office,2019-08-22,E09000023,E14000788,Greater London Authority,2020-08-21,General Office,Natural Gas,,,,2098,96,107,61,95,0,0,73,38,48,69,0,0,Yes,,2,5,Air Conditioning,C1;,"Jobcentre Plus, 32-34 Dartmouth Road",Lewisham,Lewisham West and Penge,LONDON,2020-09-01,2020-06-01,2020-08-21 13:25:34,Standard Occupancy
9569350502014102509453200200230,,Marvels Lane Primary School,Riddons Road,SE12 9RA,153385200000,70,97,89,C,32,22,0,Schools And Seasonal Public Buildings,2013-07-20,E09000023,E14000787,Greater London Authority,2014-10-25,Schools And Seasonal Public Buildings,Natural Gas,,,,1608.38,69,132,36,40,0,0,40,37,40,33,0,0,Yes,,1,5,Heating and Natural Ventilation,S3;,"Marvels Lane Primary School, Riddons Road",Lewisham,Lewisham East,LONDON,2014-10-31,2014-08-31,2014-10-25 09:45:32,Standard Occupancy
52974630342014072511372795490230,BLOCK D,Sedgehill School,Sedgehill Road,SE6 3QW,137613490009,105,119,134,E,64,28,0,Schools And Seasonal Public Buildings,2014-07-25,E09000023,E14000788,Greater London Authority,2014-07-25,Schools And Seasonal Public Buildings,Natural Gas,,,,1809,81,138,64,40,0,0,74,70,38,45,0,0,Yes,,2,5,Heating and Natural Ventilation,S3;,"BLOCK D, Sedgehill School, Sedgehill Road",Lewisham,Lewisham West and Penge,LONDON,2014-05-01,2014-03-31,2014-07-25 11:37:27,Standard Occupancy
11259320302019060309545047700060,,Granville Park Centre,48 Granville Park,SE13 7DX,537292740000,75,62,56,C,65,15,0,Schools And Seasonal Public Buildings,2019-06-03,E09000023,E14000787,Greater London Authority,2019-06-03,Schools And Seasonal Public Buildings,Natural Gas,,,,1526,50,175,77,65,0,0,44,40,21,20,0,0,Yes,,2,5,Heating and Natural Ventilation,S3;,"Granville Park Centre, 48 Granville Park",Lewisham,Lewisham East,LONDON,2019-03-31,2019-01-01,2019-06-03 09:54:50,Extended Occupancy
8446860542016042211015832100060,,208 Lewisham High Street,,SE13 6JP,757026130000,105,112,118,E,92,0,0,General Office,2014-06-02,E09000023,E14000789,Greater London Authority,2016-04-22,General Office,Grid Supplied Electricity,,,,1211,0,105,139,95,0,0,96,105,0,0,0,0,Yes,,2,3,Air Conditioning,C1;,208 Lewisham High Street,Lewisham,"Lewisham, Deptford",LONDON,2016-04-20,2016-01-25,2016-04-22 11:01:58,Standard Occupancy
9228140842014080608261724600060,,Lucas Vale Primary School,Thornville Street,SE8 4QB,981424620000,81,86,91,D,50,41,1,Schools And Seasonal Public Buildings,2014-06-04,E09000023,E14000789,Greater London Authority,2014-08-06,Schools And Seasonal Public Buildings,Natural Gas,,,,2326,92,137,39,40,0,3.6,49,54,55,45,1,2,Yes,,2,1,Heating and Natural Ventilation,S3;,"Lucas Vale Primary School, Thornville Street",Lewisham,"Lewisham, Deptford",LONDON,2014-06-04,2014-04-01,2014-08-06 08:26:17,Standard Occupancy
24400840022015041515321946940062,DAVIDSON BUILDING,Haberdashers Askes Hatcham College,135 Pepys Road,SE14 5SF,640743650002,143,,,F,50,27,0,Schools And Seasonal Public Buildings,2015-04-10,E09000023,E14000789,Greater London Authority,2015-04-15,Schools And Seasonal Public Buildings,Natural Gas,,,,1146.09,121,129,80,40,0,0,,,,,,,Yes,,1,4,Heating and Natural Ventilation,S3;,"DAVIDSON BUILDING, Haberdashers Askes Hatcham College, 135 Pepys Road",Lewisham,"Lewisham, Deptford",LONDON,2015-03-31,2015-01-01,2015-04-15 15:32:19,Standard Occupancy
26946790022013040317121875790064,LOCKWOOD BUILDING,"Goldsmiths, University of London",8 Lewisham Way,SE14 6NW,673096560004,55,53,,C,95,61,0,University Campus,2013-01-30,E09000023,E14000789,Greater London Authority,2013-04-03,University Campus,Natural Gas,,,,2571,123,257,67,110,0,0,110,,45,,0,,No,,,4,Heating and Natural Ventilation,S4;,"LOCKWOOD BUILDING, Goldsmiths, University of London, 8 Lewisham Way",Lewisham,"Lewisham, Deptford",LONDON,2012-10-30,2012-07-31,2013-04-03 17:12:18,Extended Occupancy
5136910022009030410424359710070,,Surrey House,80 Lewisham Way,SE14 6PB,757218990000,58,,,C,70,236,,Long term residential,2008-09-30,E09000023,E14000789,Greater London Authority,2009-03-04,Long term residential,Natural Gas,,Not applicable,Not applicable,4711,259,392,27,65,0,0,,,,,,,,,,,Heating and Natural Ventilation,S7;,"Surrey House, 80 Lewisham Way",Lewisham,"Lewisham, Deptford",LONDON,2008-09-01,2008-07-31,2009-03-04 10:42:43,
33244441942010033010145325210070,JOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220011,149,,,F,149,99,0,University Campus,2010-03-05,E09000023,E14000789,Greater London Authority,2010-03-30,University Campus,Natural Gas,,Not applicable,Not applicable,1883,270,227,144,80,0,0,,,,,,,Yes,,2,5,Air Conditioning,S4;,"JOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2010-03-30,2010-01-01,2010-03-30 10:14:53,
33243540942010033009575125220070,BOB,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220002,113,,,E,95,63,0,General Office; Hospital - Clinical And Research,2010-03-05,E09000023,E14000789,Greater London Authority,2010-03-30,Hospital - Clinical And Research,Natural Gas,,Not applicable,Not applicable,1197,270,339,144,91,0,0,,,,,,,Yes,,2,5,Air Conditioning,C1; S6;,"BOB, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2010-03-30,2010-01-01,2010-03-30 09:57:51,
30130690062012110512411357210080,,Royal Mail,"Blackheath Delivery Office, 41 Blackheath Grove",SE3 0AT,859396700000,84,123,13,D,13,47,0,Covered Car Park; High Street Agency; Restaurant; Storage Facility; Workshop,2012-09-20,E09000023,E14000787,Greater London Authority,2012-11-05,Workshop,Natural Gas,,,,1367,178,130,17,49,0,0,45,6,41,5,0,0,No,,,4,Heating and Mechanical Ventilation,S1; C2; H1; W4; W3;,"Royal Mail, Blackheath Delivery Office, 41 Blackheath Grove",Lewisham,Lewisham East,LONDON,2012-11-05,2012-09-30,2012-11-05 12:41:13,Standard Occupancy
33244641942012080912164927230080,NOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220013,193,,,G,509,306,0,Hospital - Clinical And Research,2012-08-03,E09000023,E14000789,Greater London Authority,2012-08-09,Hospital - Clinical And Research,Natural Gas,,,,4597,343,217,201,90,0,0,,,,,,,Yes,,3,5,Air Conditioning,S6;,"NOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2012-04-01,2012-03-31,2012-08-09 12:16:49,Standard Occupancy
78912842902017020914250821200080,MOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220020,112,79,135,E,2402,462,6,Hospital - Clinical And Research; Restaurant,2016-08-09,E09000023,E14000789,Greater London Authority,2017-02-09,Hospital - Clinical And Research,Natural Gas,,,solar: 11160 kWh Electricity,21158,113,367,206,90,0,0.2,1340,2397,717,1150,0,144,Yes,,3,3,Mixed-mode with Mechanical Ventilation,S6; H1;,"MOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2016-03-31,2016-03-31,2017-02-09 14:25:08,Standard Occupancy
7541740922018121923021657920180,,The Bridge Leisure Centre,Kangley Bridge Road,SE26 5AQ,856140720000,78,77,70,D,366,380,0,Dry Sports And Leisure Facility; Fitness And Health Centre; Swimming Pool Centre,2018-12-19,E09000023,E14000788,Greater London Authority,2018-12-19,Dry Sports And Leisure Facility,Natural Gas,,,,4460,439,583,149,182,0,0,349,386,366,257,0,0,Yes,,2,1,Heating and Mechanical Ventilation,H8; H7; H6;,"The Bridge Leisure Centre, Kangley Bridge Road",Lewisham,Lewisham West and Penge,LONDON,2019-01-01,2018-11-30,2018-12-19 23:02:16,Extended Occupancy
1038230022013021516490817290190,,Chesterman House,"334-336, New Cross Road",SE14 6AG,917039700000,56,,,C,76,72,0,University Campus,2013-01-29,E09000023,E14000789,Greater London Authority,2013-02-15,University Campus,Natural Gas,,,,2308,,,,,,,,,,,,,No,,,4,Heating and Natural Ventilation,S4;,"Chesterman House, 334-336, New Cross Road",Lewisham,"Lewisham, Deptford",LONDON,2011-10-31,2011-08-01,2013-02-15 16:49:08,Extended Occupancy
64123310062018070912190830030193,JUNIOR BUILDING,Elfrida Primary School,Elfrida Crescent,SE6 3EN,933912030003,104,97,88,E,42,54,0,Schools And Seasonal Public Buildings,2018-07-09,E09000023,E14000788,Greater London Authority,2018-07-09,Schools And Seasonal Public Buildings,Natural Gas,,,,1918,144,135,40,40,0,0,39,31,49,48,0,0,No,,,4,Heating and Natural Ventilation,S3;,"JUNIOR BUILDING, Elfrida Primary School, Elfrida Crescent",Lewisham,Lewisham West and Penge,LONDON,2018-01-31,2017-11-01,2018-07-09 12:19:08,Standard Occupancy
52974321012011072810055703060193,BLOCK AF,Sedgehill School,Sedgehill Road,SE6 3QW,137613490006,90,,,D,281,155,0,Schools And Seasonal Public Buildings,2009-06-02,E09000023,E14000788,Greater London Authority,2011-07-28,Schools And Seasonal Public Buildings,Natural Gas,,,,7170,128,181,71,59,0,0,,,,,,,No,,,4,Heating and Mechanical Ventilation,S3;,"BLOCK AF, Sedgehill School, Sedgehill Road",Lewisham,Lewisham West and Penge,LONDON,2011-05-01,2011-03-31,2011-07-28 10:05:57,Extended Occupancy
9689151132019102517135352900193,ROSEN BUILDING,Edmund Waller School,Waller Road,SE14 5LY,539212810001,68,69,81,C,19,22,0,Schools And Seasonal Public Buildings,2019-10-25,E09000023,E14000789,Greater London Authority,2019-10-25,Schools And Seasonal Public Buildings,Natural Gas,,,,1242,92,135,27,40,0,0,19,21,24,28,0,0,No,,,4,Heating and Natural Ventilation,S3;,"ROSEN BUILDING, Edmund Waller School, Waller Road",Lewisham,"Lewisham, Deptford",LONDON,2019-10-27,2019-09-18,2019-10-25 17:13:53,Standard Occupancy
52974514832014072511334256000193,BLOCK C,Sedgehill School,Sedgehill Road,SE6 3QW,137613490008,105,119,134,E,73,33,0,Schools And Seasonal Public Buildings,2014-07-25,E09000023,E14000788,Greater London Authority,2014-07-25,Schools And Seasonal Public Buildings,Natural Gas,,,,2069,81,138,64,40,0,0,85,80,43,52,0,0,Yes,,2,5,Heating and Natural Ventilation,S3;,"BLOCK C, Sedgehill School, Sedgehill Road",Lewisham,Lewisham West and Penge,LONDON,2014-05-01,2014-03-31,2014-07-25 11:33:42,Standard Occupancy
54842654332014121518293752900193,LLOYDS BUILDING (BLOCK E),Edmund Waller School,Waller Road,SE14 5LY,539212810003,97,94,134,D,22,33,0,Schools And Seasonal Public Buildings,2014-12-15,E09000023,E14000789,Greater London Authority,2014-12-15,Schools And Seasonal Public Buildings,Natural Gas,,,,1212,142,131,33,40,0,0,21,47,38,34,0,0,No,,,4,Heating and Natural Ventilation,S3;,"LLOYDS BUILDING (BLOCK E), Edmund Waller School, Waller Road",Lewisham,"Lewisham, Deptford",LONDON,2014-10-27,2014-10-01,2014-12-15 18:29:37,Standard Occupancy
52974616932016051010420406000193,BLOCK D,Sedgehill School,Sedgehill Road,SE6 3QW,137613490009,98,112,105,D,57,27,0,Schools And Seasonal Public Buildings,2016-05-10,E09000023,E14000788,Greater London Authority,2016-05-10,Schools And Seasonal Public Buildings,Natural Gas,,,,1809,78,131,57,40,0,0,66,64,32,28,0,0,Yes,,2,5,Heating and Natural Ventilation,S3;,"BLOCK D, Sedgehill School, Sedgehill Road",Lewisham,Lewisham West and Penge,LONDON,2016-05-01,2016-03-31,2016-05-10 10:42:04,Standard Occupancy
99520531132020011413063969000196,A BLOCK,Haberdasher Aske's Knights Temple Grove,72 Ballamore Road,BR1 5LW,368916040001,230,155,180,G,83,55,0,Schools And Seasonal Public Buildings,2019-01-26,E09000023,E14000787,Greater London Authority,2020-01-14,Schools And Seasonal Public Buildings,Natural Gas,,,,1247,229,134,121,40,0,0,54,60,41,46,0,0,Yes,,1,4,Heating and Natural Ventilation,S3;,"A BLOCK, Haberdasher Aske's Knights Temple Grove, 72 Ballamore Road",Lewisham,Lewisham East,BROMLEY,2019-12-29,2019-09-30,2020-01-14 13:06:39,Standard Occupancy
6742961032019031310254195000196,,Adamsrill Primary School,Adamsrill Road,SE26 4AQ,667510390000,73,126,123,C,84,56,0,Schools And Seasonal Public Buildings,2019-03-11,E09000023,E14000788,Greater London Authority,2019-03-13,Schools And Seasonal Public Buildings,Natural Gas,,,,3867,74,142,40,40,0,0,119,116,55,53,0,0,Yes,,2,5,Heating and Natural Ventilation,S3;,"Adamsrill Primary School, Adamsrill Road",Lewisham,Lewisham West and Penge,LONDON,2018-12-09,2018-11-01,2019-03-13 10:25:41,Standard Occupancy
1038230062013040317021017790090,,Chesterman House,"334-336, New Cross Road",SE14 6AG,917039700000,52,56,,C,68,65,0,University Campus,2013-01-30,E09000023,E14000789,Greater London Authority,2013-04-03,University Campus,Natural Gas,,,,2308,145,257,54,110,0,0,76,,72,,0,,No,,,4,Heating and Natural Ventilation,S4;,"Chesterman House, 334-336, New Cross Road",Lewisham,"Lewisham, Deptford",LONDON,2012-10-30,2012-07-31,2013-04-03 17:02:10,Extended Occupancy
12461970702015043015394485200090,,St. Matthews Academy,St. Josephs Vale,SE3 0XX,177907280000,103,99,106,E,565,164,0,Schools And Seasonal Public Buildings,2015-01-05,E09000023,E14000787,Greater London Authority,2015-04-30,Schools And Seasonal Public Buildings,Natural Gas,,,,10364,82,169,99,65,0,0,546,606,166,154,0,0,Yes,,2,5,Mixed-mode with Mechanical Ventilation,S3;,"St. Matthews Academy, St. Josephs Vale",Lewisham,Lewisham East,LONDON,2015-02-28,2015-02-24,2015-04-30 15:39:44,Extended Occupancy
2317750202010031100480515700090,,Lewisham Primary Care N H S Trust,"Lee Health Centre, 2 Handen Road",SE12 8NP,228615710000,96,106,,D,50,36,0,Clinic,2010-01-05,E09000023,E14000787,Greater London Authority,2010-03-11,Clinic,Natural Gas,,,,1179,157,195,77,70,0,0,58,,36,,0,,Yes,,1,4,Heating and Mechanical Ventilation,S5;,"Lewisham Primary Care N H S Trust, Lee Health Centre, 2 Handen Road",Lewisham,Lewisham East,LONDON,2009-09-24,2009-08-31,2010-03-11 00:48:05,
33243740942018080814382427240090,DOC,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220004,93,75,84,D,84,46,0,Hospital - Clinical And Research,2018-01-03,E09000023,E14000789,Greater London Authority,2018-08-08,Hospital - Clinical And Research,Natural Gas,,,,1118.72,213,394,137,90,0,0,61,63,45,51,0,0,Yes,,2,3,Heating and Mechanical Ventilation,S6;,"DOC, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2018-03-31,2018-03-31,2018-08-08 14:38:24,Standard Occupancy
9417174032014110514290257900093,,Rangefield Primary School,Rangefield Road,BR1 4RP,734707710000,112,104,110,E,88,67,0,Schools And Seasonal Public Buildings,2014-11-05,E09000023,E14000787,Greater London Authority,2014-11-05,Schools And Seasonal Public Buildings,Natural Gas,,,,2657.2,131,155,60,40,0,0,80,61,46,74,0,0,Yes,,2,4,Heating and Natural Ventilation,S3;,"Rangefield Primary School, Rangefield Road",Lewisham,Lewisham East,BROMLEY,2013-10-30,2013-09-30,2014-11-05 14:29:02,Standard Occupancy
76008325032015052714541134000095,,Gordonbrock Primary School,Amyruth Road,SE4 1HQ,257409860000,131,128,112,F,110,68,0,Schools And Seasonal Public Buildings,2015-05-27,E09000023,E14000789,Greater London Authority,2015-05-27,Schools And Seasonal Public Buildings,Natural Gas,,,,2831.9,123,134,70,40,0,0,115,101,66,59,0,0,Yes,,1,1,Heating and Mechanical Ventilation,S3;,"Gordonbrock Primary School, Amyruth Road",Lewisham,"Lewisham, Deptford",LONDON,2015-04-10,2015-02-27,2015-05-27 14:54:11,Standard Occupancy
112465816132016052010424689000097,SPORTS HALL,St. Matthews Academy,St. Josephs Vale,SE3 0XX,177907280001,54,,,C,51,13,0,Dry Sports And Leisure Facility,2016-05-18,E09000023,E14000787,Greater London Authority,2016-05-20,Dry Sports And Leisure Facility,Natural Gas,,,,982.5,70,308,95,111,0,0,,,,,,,Yes,,1,5,Heating and Natural Ventilation,H8;,"SPORTS HALL, St. Matthews Academy, St. Josephs Vale",Lewisham,Lewisham East,LONDON,2016-02-28,2016-02-25,2016-05-20 10:42:46,Extended Occupancy
68905062232015081715304297900099,LOWER SCHOOL,Bonus Pastor Catholic College,Winlaton Road,BR1 5PZ,693706510002,127,139,,F,147,86,29,Schools And Seasonal Public Buildings,2012-12-11,E09000023,E14000787,Greater London Authority,2015-08-17,Schools And Seasonal Public Buildings,Natural Gas,,,,3772,117,138,71,40,0,16.5,152,,97,,0,,Yes,,2,4,Heating and Natural Ventilation,S3;,"LOWER SCHOOL, Bonus Pastor Catholic College, Winlaton Road",Lewisham,Lewisham East,BROMLEY,2015-08-01,2015-06-30,2015-08-17 15:30:42,Standard Occupancy
68905063232017080213293197000099,LOWER SCHOOL,Bonus Pastor Catholic College,Winlaton Road,BR1 5PZ,693706510002,116,132,115,E,200,79,5,Schools And Seasonal Public Buildings,2017-07-11,E09000023,E14000787,Greater London Authority,2017-08-02,Schools And Seasonal Public Buildings,Natural Gas,,,,3772,108,163,96,59,0,2.6,204,156,75,92,3,5,Yes,,2,5,Heating and Mechanical Ventilation,S3;,"LOWER SCHOOL, Bonus Pastor Catholic College, Winlaton Road",Lewisham,Lewisham East,BROMLEY,2017-07-31,2017-06-30,2017-08-02 13:29:31,Extended Occupancy
29108698032018060712330115000197,,Horniman School,Horniman Drive,SE23 3BP,975513870000,125,,,E,42,54,19,Schools And Seasonal Public Buildings,2018-03-19,E09000023,E14000788,Greater London Authority,2018-06-07,Schools And Seasonal Public Buildings,Natural Gas,,,PV System: 35215 kWh Electricity,1597,174,135,48,40,0,31.6,,,,,,,Yes,,1,3,Heating and Natural Ventilation,S3;,"Horniman School, Horniman Drive",Lewisham,Lewisham West and Penge,LONDON,2018-03-15,2017-12-15,2018-06-07 12:33:01,Standard Occupancy
4884183032017082510544481000199,,Ladywell Centre,148 Dressington Avenue,SE4 1JF,892119070000,151,136,130,G,63,130,0,Schools And Seasonal Public Buildings,2017-08-08,E09000023,E14000789,Greater London Authority,2017-08-25,Schools And Seasonal Public Buildings,Natural Gas,,,,2601,257,140,44,40,0,0,68,64,143,138,0,0,No,,,4,Heating and Natural Ventilation,S3;,"Ladywell Centre, 148 Dressington Avenue",Lewisham,"Lewisham, Deptford",LONDON,2017-01-01,2016-12-31,2017-08-25 10:54:44,Standard Occupancy
9145766032016092314401279000199,,Brindishe Manor School,Leahurst Road,SE13 5LS,699910060000,114,124,150,E,32,39,0,Schools And Seasonal Public Buildings,2016-09-23,E09000023,E14000787,Greater London Authority,2016-09-23,Schools And Seasonal Public Buildings,Natural Gas,,,,1300,156,132,44,40,0,0,61,63,96,123,0,0,No,,,4,Heating and Natural Ventilation,S3;,"Brindishe Manor School, Leahurst Road",Lewisham,Lewisham East,LONDON,2016-07-31,2016-07-31,2016-09-23 14:40:12,Standard Occupancy
5489340062016050611512552220210,,Lewisham Reference Library,199-201 Lewisham High Street,SE13 6LG,150049250000,82,93,89,D,152,46,0,Cultural Activities,2016-02-22,E09000023,E14000789,Greater London Authority,2016-05-06,Cultural Activities,Natural Gas,,,,2696,88,201,103,91,0,0,162,166,61,65,0,0,Yes,,2,5,Heating and Natural Ventilation,H4;,"Lewisham Reference Library, 199-201 Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2016-01-01,2016-01-01,2016-05-06 11:51:25,Extended Occupancy
12991140922009103021153244700060,,Pendragon School,Pendragon Road,BR1 5LD,645840490000,123,110,,E,32,64,,Schools and seasonal public buildings,2009-10-30,E09000023,E14000787,Greater London Authority,2009-10-30,Schools and seasonal public buildings,Natural Gas,,,,1544,214,146,37,40,0,0,36,,48,,,,Yes,,1,5,Heating and Natural Ventilation,S3;,"Pendragon School, Pendragon Road",Lewisham,Lewisham East,BROMLEY,2009-09-30,2009-06-30,2009-10-30 21:15:32,
29213991922010011417233575990060,RUTHERFORD BUILDING,"Goldsmiths, University of London",8 Lewisham Way,SE14 6NW,673096560010,78,,,D,346,114,,Cultural activities; University campus,2009-11-10,E09000023,E14000789,Greater London Authority,2010-01-14,University campus,Natural Gas,,Not applicable,Not applicable,6087,96,234,103,94,0,0,,,,,,,Yes,,3,5,Mixed-mode with Mechanical Ventilation,H4; S4;,"RUTHERFORD BUILDING, Goldsmiths, University of London, 8 Lewisham Way",Lewisham,"Lewisham, Deptford",LONDON,2009-09-30,2009-07-31,2010-01-14 17:23:35,
27283780922012102220070960200060,,Forest Hill Secondary School,Dacres Road,SE23 2XN,664287090000,123,117,116,E,418,228,0,Schools And Seasonal Public Buildings,2012-10-20,E09000023,E14000788,Greater London Authority,2012-10-22,Schools And Seasonal Public Buildings,Natural Gas,,,,10837.66,108,137,70,40,0,0,380,399,254,250,0,0,Yes,,2,3,Heating and Mechanical Ventilation,S3;,"Forest Hill Secondary School, Dacres Road",Lewisham,Lewisham West and Penge,LONDON,2012-07-30,2012-06-01,2012-10-22 20:07:09,Standard Occupancy
4855340142019060309481487900060,,Brockley Rise Centre,Brockley Rise,SE23 1PR,213184980000,83,80,71,D,105,64,0,Schools And Seasonal Public Buildings,2019-06-03,E09000023,E14000789,Greater London Authority,2019-06-03,Schools And Seasonal Public Buildings,Natural Gas,,,,2918,114,175,65,65,0,0,100,92,61,52,0,0,Yes,,2,5,Heating and Natural Ventilation,S3;,"Brockley Rise Centre, Brockley Rise",Lewisham,"Lewisham, Deptford",LONDON,2019-03-31,2019-01-01,2019-06-03 09:48:14,Extended Occupancy
33244240942019061916554025290060,FOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220009,107,93,75,E,667,345,0,Hospital - Clinical And Research,2019-06-05,E09000023,E14000789,Greater London Authority,2019-06-19,Hospital - Clinical And Research,Natural Gas,,,,7781.11,229,370,156,90,0,0,588,380,321,284,0,0,Yes,,2,3,Heating and Mechanical Ventilation,S6;,"FOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2019-03-31,2019-03-31,2019-06-19 16:55:40,Standard Occupancy
1608600022020021310173591920720,,South Lewisham Health Centre,50 Conisborough Crescent,SE6 2SS,291301160000,46,,,B,50,18,0,Hospital - Clinical And Research,2020-02-13,E09000023,E14000787,Greater London Authority,2020-02-13,Hospital - Clinical And Research,Natural Gas,,,,1206.65,77,376,75,90,0,0,,,,,,,Yes,,2,5,Heating and Natural Ventilation,S6;,"South Lewisham Health Centre, 50 Conisborough Crescent",Lewisham,Lewisham East,LONDON,2019-11-30,2019-09-30,2020-02-13 10:17:35,Standard Occupancy
1258680922010101310084449900720,,Good Shepherd Catholic Primary School,Moorside Road,BR1 5EP,241085980000,120,132,,E,31,56,0,Schools And Seasonal Public Buildings,2010-10-13,E09000023,E14000787,Greater London Authority,2010-10-13,Schools And Seasonal Public Buildings,Natural Gas,,,,1430.92,200,148,40,40,0,0,34,,61,,0,,No,,,4,Heating and Natural Ventilation,S3;,"Good Shepherd Catholic Primary School, Moorside Road",Lewisham,Lewisham East,BROMLEY,2010-10-19,2010-07-27,2010-10-13 10:08:44,
33244461022012080912124192080721,JOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220011,94,,,D,73,39,0,General Office,2012-08-03,E09000023,E14000789,Greater London Authority,2012-08-09,General Office,Natural Gas,,,,1849,109,62,72,95,0,0,,,,,,,Yes,,2,5,Heating and Mechanical Ventilation,C1;,"JOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2012-04-01,2012-03-31,2012-08-09 12:12:41,Standard Occupancy
57716870062013062316431497260730,,Royal Mail,"Deptford Delivery Office, 4-8 Creek Road",SE8 3EQ,392976780000,149,200,147,F,20,27,0,Workshop; General Office; Restaurant; Storage Facility; Covered Car Park,2013-06-23,E09000023,E14000789,Greater London Authority,2013-06-23,Workshop,Natural Gas,,,,517,267,184,70,45,0,0,18,18,40,27,0,0,No,,,4,Heating and Natural Ventilation,W3; C1; H1; W4; S1;,"Royal Mail, Deptford Delivery Office, 4-8 Creek Road",Lewisham,"Lewisham, Deptford",LONDON,2013-07-10,2013-04-30,2013-06-23 16:43:14,Standard Occupancy
