PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,11583158032009030410203503000802,3,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,11583158032009030410203503000802,4,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
LONG,11583158032009030410203503000802,4,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
MEDIUM,11583158032009030410203503000802,4,BF10,Consider introducing/improving wall insulation (internal lining) to solid single skin structures.,HIGH
LONG,11583158032009030410203503000802,5,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
MEDIUM,11583158032009030410203503000802,5,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,11583158032009030410203503000802,5,X6,"Ensure natural ventilation flow is operating as designed i.e. ensure window, vents and grilles are operable and free from obstructions and partitions do not prevent cross flow.",LOW
SHORT,11583158032009030410203503000802,6,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,11583158032009030410203503000802,7,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
LONG,13604518032009031313175997900807,1,BF2,Consider introducing or improving insulation of flat roofs.,HIGH
SHORT,13604518032009031313175997900807,1,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
MEDIUM,13604518032009031313175997900807,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
LONG,13604518032009031313175997900807,2,BF3,Consider replacing or improving glazing.,HIGH
MEDIUM,13604518032009031313175997900807,2,BF10,Consider introducing/improving wall insulation (internal lining) to solid single skin structures.,HIGH
SHORT,13604518032009031313175997900807,2,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,LOW
LONG,13604518032009031313175997900807,3,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
MEDIUM,13604518032009031313175997900807,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,13604518032009031313175997900807,3,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,13604518032009031313175997900807,4,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
LONG,13604518032009031313175997900807,4,AE5,Consider heating the building using biomass boiler(s).,HIGH
LONG,13604518032009031313175997900807,5,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
SHORT,13604518032009031313175997900807,5,X24,Boiler plant should be regularly tested and adjusted by experts for operating efficiency.,LOW
SHORT,13604518032009031313175997900807,6,HS17,If stratification occurs consider re-circulating the air during heating.,HIGH
SHORT,13604518032009031313175997900807,7,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy assessor to undertake an inspection in compliance with the EPC Regulations SI 2007/991 as amended.),LOW
SHORT,13604518032009031313175997900807,8,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,13604518032009031313175997900807,9,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,13604518032009031313175997900807,10,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,13604518032009031313175997900807,11,X16,Consider a programme of fitting energy meters to lifts an escalators as part of the serving and maintenance regime.,LOW
MEDIUM,33243460062017041316161192990821,1,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,HIGH
LONG,33243460062017041316161192990821,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",HIGH
SHORT,33243460062017041316161192990821,1,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",HIGH
MEDIUM,33243460062017041316161192990821,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
LONG,33243460062017041316161192990821,2,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,HIGH
SHORT,33243460062017041316161192990821,2,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",HIGH
LONG,33243460062017041316161192990821,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
MEDIUM,33243460062017041316161192990821,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,33243460062017041316161192990821,3,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",HIGH
SHORT,33243460062017041316161192990821,4,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),HIGH
LONG,33243460062017041316161192990821,4,AE4,Consider installing building mounted photovoltaic electricity generating panels.,MEDIUM
LONG,33243460062017041316161192990821,5,BF2,Consider introducing or improving insulation of flat roofs.,MEDIUM
SHORT,33243460062017041316161192990821,5,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
SHORT,33243460062017041316161192990821,6,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
SHORT,33243460062017041316161192990821,7,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,MEDIUM
SHORT,33243460062017041316161192990821,8,AC12,Engage experts to survey the air conditioning systems and propose remedial works to improve condition and operating efficiency.,MEDIUM
SHORT,33243460062017041316161192990821,9,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
SHORT,33243460062017041316161192990821,10,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting.,MEDIUM
SHORT,33243460062017041316161192990821,11,V1,Engage experts to propose and set up a ventilation servicing and maintenance regime and implement it.,MEDIUM
LONG,1038230962016021809544117090790,1,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,1038230962016021809544117090790,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,1038230962016021809544117090790,1,BF1,Consider introducing or improving loft insulation.,HIGH
MEDIUM,1038230962016021809544117090790,2,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,HIGH
LONG,1038230962016021809544117090790,2,AE3,Consider installing building mounted solar water heating.,HIGH
SHORT,1038230962016021809544117090790,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,1038230962016021809544117090790,3,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
MEDIUM,1038230962016021809544117090790,3,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,HIGH
LONG,1038230962016021809544117090790,3,BF3,Consider replacing or improving glazing.,HIGH
LONG,1038230962016021809544117090790,4,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,HIGH
SHORT,1038230962016021809544117090790,4,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
LONG,108048350062018052122030477050960,1,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,108048350062018052122030477050960,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
SHORT,108048350062018052122030477050960,1,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
OTHER,108048350062018052122030477050960,1,None,Consider Engaging experts to assess current lighting and electrical equipment to advise on possible energy reduction devices available.,MEDIUM
LONG,108048350062018052122030477050960,2,AE2,Consider installing wind turbine(s) within the curtilage of the site.,MEDIUM
SHORT,108048350062018052122030477050960,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
OTHER,108048350062018052122030477050960,2,None,Log onto the Carbon Trust Website for free publications on saving money and reducing carbon emissions. http//www.carbontrust.co.uk.,LOW
LONG,108048350062018052122030477050960,3,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
OTHER,108048350062018052122030477050960,3,None,"Consider Empowering some key students and making them, Environmental Champions. In their appointment they be asked to reduce wasted energy e.g. to turn off lights which are left on, inform the members of staff to turn radiators before opening windows to cool the room etc.",MEDIUM
SHORT,108048350062018052122030477050960,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
LONG,108048350062018052122030477050960,4,AE6,Consider installing a ground source heat pump.,MEDIUM
OTHER,108048350062018052122030477050960,4,None,"Where white boards & Smart TV's are used in classroom consider implementation of a programme to ensure they are switched off during long periods such as breaktimes, lunch & overnight.",LOW
SHORT,108048350062018052122030477050960,4,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
OTHER,108048350062018052122030477050960,5,None,"Carry out energy awareness campaign by engaging users and engineering services operational staff to minimise waste, optimise performance and secure ownership to improve efficiency of use.",MEDIUM
SHORT,108048350062018052122030477050960,5,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
OTHER,108048350062018052122030477050960,6,None,Improve procurement process to ensure that energy/carbon is an essential part of performance evaluation. Where appropriate achieve lowest energy rating for appliances and equipment,MEDIUM
SHORT,108048350062018052122030477050960,6,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,108048350062018052122030477050960,7,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),MEDIUM
OTHER,108048350062018052122030477050960,7,None,Investigate the base load of the property by ensuring all non essential lighting and equipment is switched off then monitor your 1/2hrly data for abnormalities in consumption on a continued basis.,HIGH
SHORT,58830160022013070408440436790990,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
LONG,58830160022013070408440436790990,1,BF3,Consider replacing or improving glazing.,MEDIUM
MEDIUM,58830160022013070408440436790990,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
LONG,58830160022013070408440436790990,2,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,58830160022013070408440436790990,2,BF4,Consider fitting secondary glazing and/or under glaze sky lights where appropriate.,LOW
SHORT,58830160022013070408440436790990,2,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting.,LOW
SHORT,58830160022013070408440436790990,3,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
MEDIUM,58830160022013070408440436790990,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
SHORT,58830160022013070408440436790990,4,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
MEDIUM,58830160022013070408440436790990,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,MEDIUM
SHORT,58830160022013070408440436790990,5,CA23,"Ensure catering equipment such as large ovens and dishwashers are utilised at maximum capacity, and/or install smaller capacity appliances to increase operational flexibility.",LOW
SHORT,58830160022013070408440436790990,6,CON2,Engage experts to review the HVAC control systems settings and propose alterations and/or upgrades and adjust to suit current occupancy patterns.,MEDIUM
SHORT,58830160022013070408440436790990,7,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
SHORT,58830160022013070408440436790990,8,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
SHORT,58830160022013070408440436790990,9,BF1,Consider introducing or improving loft insulation.,MEDIUM
SHORT,58830160022013070408440436790990,10,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,58830160022013070408440436790990,11,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
LONG,109560570052016021809484104969197,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,HIGH
MEDIUM,109560570052016021809484104969197,1,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance. This might include building pressure tests for air tightness and thermography tests for insulation continuity.,HIGH
SHORT,109560570052016021809484104969197,1,BF1,Consider introducing or improving loft insulation.,HIGH
MEDIUM,109560570052016021809484104969197,2,HS2,Where appropriate consider replacing heating boiler plant with a condensing type.,HIGH
SHORT,109560570052016021809484104969197,2,HS3,Consider replacing heating boiler plant with high-efficiency type.,HIGH
SHORT,109560570052016021809484104969197,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",HIGH
MEDIUM,109560570052016021809484104969197,3,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,HIGH
MEDIUM,109560570052016021809484104969197,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,HIGH
SHORT,109560570052016021809484104969197,4,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
SHORT,109560570052016021809484104969197,5,X6,"Ensure natural ventilation flow is operating as designed, i.e. ensure window, vents and grilles are operable and free from obstructions and partitions do not prevent cross flow.",MEDIUM
SHORT,109560570052016021809484104969197,6,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
LONG,10054970242015121113403026909200,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
OTHER,10054970242015121113403026909200,1,None,"Consider Empowering some of the children and making them, Environmental Champions. In their appointment they be asked to reduce wasted energy e.g. to turn off lights which are left on, inform the members of staff to turn radiators before opening windows to cool the room etc.",HIGH
SHORT,10054970242015121113403026909200,1,BF1,Consider introducing or improving loft insulation.,LOW
MEDIUM,10054970242015121113403026909200,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
LONG,10054970242015121113403026909200,2,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
MEDIUM,10054970242015121113403026909200,2,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,HIGH
OTHER,10054970242015121113403026909200,2,None,Consider connecting PIR sensors to some of the lights to automatically switches lights on and off.,LOW
SHORT,10054970242015121113403026909200,2,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
MEDIUM,10054970242015121113403026909200,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
OTHER,10054970242015121113403026909200,3,None,Log onto the Carbon Trust Website for free publications on saving money and reducing carbon emissions. http//www.carbontrust.co.uk,HIGH
LONG,10054970242015121113403026909200,3,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
SHORT,10054970242015121113403026909200,3,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,HIGH
MEDIUM,10054970242015121113403026909200,4,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,HIGH
OTHER,10054970242015121113403026909200,4,None,Investigate the base level of operation within the property by switching down all un-required equipment & lighting over night then monitor future consumption against the base.,HIGH
LONG,10054970242015121113403026909200,4,BF2,Consider introducing or improving insulation of flat roofs.,LOW
SHORT,10054970242015121113403026909200,4,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,10054970242015121113403026909200,5,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
SHORT,10054970242015121113403026909200,6,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,MEDIUM
SHORT,10054970242015121113403026909200,7,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,10054970242015121113403026909200,8,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,10054970242015121113403026909200,9,X28,Consider with chefs and kitchen managers implementing a training programme and monitoring systems with incentives.,MEDIUM
SHORT,10054970242015121113403026909200,10,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",MEDIUM
SHORT,10054970242015121113403026909200,11,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",HIGH
SHORT,10054970242015121113403026909200,12,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",HIGH
SHORT,10054970242015121113403026909200,13,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
SHORT,7591110342009012116304729009000,1,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
LONG,7591110342009012116304729009000,1,BF3,Consider replacing or improving glazing.,HIGH
MEDIUM,7591110342009012116304729009000,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
OTHER,7591110342009012116304729009000,1,None,"Consider Empowering some of the children and making them, Environmental Champions. In their appointment they be asked to reduce wasted energy e.g. to turn off lights which are left on, inform the members of staff to turn radiators before opening windows to cool the room etc.",MEDIUM
LONG,7591110342009012116304729009000,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",HIGH
SHORT,7591110342009012116304729009000,2,BF7,Consider adjusting existing or installing new automatic external door closers or adopting revolving door solutions.,MEDIUM
MEDIUM,7591110342009012116304729009000,2,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
OTHER,7591110342009012116304729009000,2,None,Consider connecting PIR sensors to some of the lights to automatically switches lights on and off.,MEDIUM
MEDIUM,7591110342009012116304729009000,3,BF4,Consider fitting secondary glazing and/or under glaze sky lights where appropriate.,LOW
OTHER,7591110342009012116304729009000,3,None,Consider retro fitting TRVs to existing heating system to increase efficiency.,MEDIUM
LONG,7591110342009012116304729009000,3,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,HIGH
SHORT,7591110342009012116304729009000,3,BF19,Consider fitting existing air curtains with energy saving controls such as door interlocks and occupancy time switches.,LOW
OTHER,7591110342009012116304729009000,4,None,Consider insulating hot water pipe work in the school. This will lead to less heat loss and a greater efficiency of the hot water systems.,MEDIUM
SHORT,7591110342009012116304729009000,4,BF6,"Consider how building fabric airtightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",MEDIUM
LONG,7591110342009012116304729009000,4,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,7591110342009012116304729009000,4,BF9,Consider introducing/improving cavity wall insulation.,MEDIUM
MEDIUM,7591110342009012116304729009000,5,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,7591110342009012116304729009000,5,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",HIGH
LONG,7591110342009012116304729009000,5,AE3,Consider installing building mounted solar water heating.,HIGH
SHORT,7591110342009012116304729009000,6,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
SHORT,7591110342009012116304729009000,7,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy assessor to undertake an inspection in compliance with the EPC Regulations SI 2007/991 as amended.),MEDIUM
SHORT,7591110342009012116304729009000,8,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,7591110342009012116304729009000,9,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,7591110342009012116304729009000,10,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
SHORT,7591110342009012116304729009000,11,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
MEDIUM,11375720342009021311452589509000,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
LONG,11375720342009021311452589509000,1,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,LOW
SHORT,11375720342009021311452589509000,1,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
MEDIUM,11375720342009021311452589509000,2,BF9,Consider introducing/improving cavity wall insulation.,HIGH
SHORT,11375720342009021311452589509000,2,CON18,Consider upgrading major time controls to include optimum start/stop.,MEDIUM
LONG,11375720342009021311452589509000,2,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
MEDIUM,11375720342009021311452589509000,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,11375720342009021311452589509000,3,X24,Boiler plant should be regularly tested and adjusted by experts for operating efficiency.,MEDIUM
LONG,11375720342009021311452589509000,3,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
SHORT,11375720342009021311452589509000,4,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy assessor to undertake an inspection in compliance with the EPC Regulations SI 2007/991 as amended.),MEDIUM
LONG,11375720342009021311452589509000,4,AE3,Consider installing building mounted solar water heating.,HIGH
LONG,11375720342009021311452589509000,5,BF2,Consider introducing or improving insulation of flat roofs.,HIGH
SHORT,11375720342009021311452589509000,5,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,11375720342009021311452589509000,6,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
SHORT,11375720342009021311452589509000,7,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",MEDIUM
SHORT,11375720342009021311452589509000,8,CA23,"Ensure catering equipment such as large ovens and dishwashers are utilised at maximum capacity, and/or install smaller capacity appliances to increase operational flexibility.",HIGH
SHORT,11375720342009021311452589509000,9,CON2,Engage experts to review the HVAC control systems settings and propose alterations and/or upgrades and adjust to suit current occupancy patterns.,MEDIUM
LONG,9397080202009012312374299509000,1,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,MEDIUM
MEDIUM,9397080202009012312374299509000,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
SHORT,9397080202009012312374299509000,1,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,9397080202009012312374299509000,2,X24,Boiler plant should be regularly tested and adjusted by experts for operating efficiency.,MEDIUM
LONG,9397080202009012312374299509000,2,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,LOW
MEDIUM,9397080202009012312374299509000,2,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
SHORT,9397080202009012312374299509000,3,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
LONG,9397080202009012312374299509000,3,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
MEDIUM,9397080202009012312374299509000,3,BF10,Consider introducing/improving wall insulation (internal lining) to solid single skin structures.,HIGH
SHORT,9397080202009012312374299509000,4,X25,"Consider introducing a system of regular checks of Heating, Ventilation and Air Conditioning (HVAC) time and temperature settings and provisions to prevent unauthorised adjustment.",LOW
MEDIUM,9397080202009012312374299509000,4,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
LONG,9397080202009012312374299509000,4,BF2,Consider introducing or improving insulation of flat roofs.,HIGH
MEDIUM,9397080202009012312374299509000,5,BF4,Consider fitting secondary glazing and/or under glaze sky lights where appropriate.,HIGH
LONG,9397080202009012312374299509000,5,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
SHORT,9397080202009012312374299509000,5,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,MEDIUM
SHORT,9397080202009012312374299509000,6,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,9397080202009012312374299509000,7,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
LONG,9619450142009020413400879209000,1,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,MEDIUM
SHORT,9619450142009020413400879209000,1,CON2,Engage experts to review the HVAC control systems settings and propose alterations and/or upgrades and adjust to suit current occupancy patterns.,LOW
MEDIUM,9619450142009020413400879209000,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
SHORT,9619450142009020413400879209000,2,X25,"Consider introducing a system of regular checks of Heating, Ventilation and Air Conditioning (HVAC) time and temperature settings and provisions to prevent unauthorised adjustment.",LOW
LONG,9619450142009020413400879209000,2,BF2,Consider introducing or improving insulation of flat roofs.,HIGH
MEDIUM,9619450142009020413400879209000,2,BF9,Consider introducing/improving cavity wall insulation.,HIGH
MEDIUM,9619450142009020413400879209000,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
LONG,9619450142009020413400879209000,3,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
SHORT,9619450142009020413400879209000,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
MEDIUM,9619450142009020413400879209000,4,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
SHORT,9619450142009020413400879209000,4,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,MEDIUM
LONG,9619450142009020413400879209000,4,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
LONG,9619450142009020413400879209000,5,AE3,Consider installing building mounted solar water heating.,HIGH
SHORT,9619450142009020413400879209000,5,CON18,Consider upgrading major time controls to include optimum start/stop.,MEDIUM
SHORT,9619450142009020413400879209000,6,X24,Boiler plant should be regularly tested and adjusted by experts for operating efficiency.,LOW
SHORT,9619450142009020413400879209000,7,HS17,If stratification occurs consider re-circulating the air during heating.,HIGH
SHORT,9619450142009020413400879209000,8,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,9619450142009020413400879209000,9,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the serving and maintenance regime.,LOW
SHORT,9619450142009020413400879209000,10,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
