PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
OTHER,54386290342011091510015291310010,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,54386290342011091510015291310010,2,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,54386290342011091510015291310010,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,54386290342011091510015291310010,3,EPC-H5,Add local time control to heating system.,LOW
LONG,54386290342011091510015291310010,4,EPC-R3,Consider installing solar water heating.,LOW
LONG,54386290342011091510015291310010,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,46447880302011012111061479900290,1,EPC-R5,Consider installing an air source heat pump.,LOW
SHORT,46447880302011012111061479900290,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,46447880302011012111061479900290,3,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,46447880302011012111061479900290,4,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
SHORT,46447880302011012111061479900290,5,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
SHORT,46447880302011012111061479900290,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,46500620942011012400122792000290,1,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",HIGH
SHORT,46500620942011012400122792000290,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
LONG,46565410642011012714202293700990,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
MEDIUM,46565410642011012714202293700990,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
SHORT,46565410642011012714202293700990,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,46565410642011012714202293700990,2,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",HIGH
MEDIUM,46565410642011012714202293700990,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,46565410642011012714202293700990,2,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
LONG,46565410642011012714202293700990,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,46565410642011012714202293700990,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
SHORT,46565410642011012714202293700990,3,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
LONG,46565410642011012714202293700990,4,EPC-W1,Install more efficient water heater.,LOW
MEDIUM,46565410642011012714202293700990,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,46565410642011012714202293700990,4,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,46565410642011012714202293700990,5,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,46565410642011012714202293700990,5,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,46565410642011012714202293700990,5,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
SHORT,46565410642011012714202293700990,6,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,46565410642011012714202293700990,6,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,46565410642011012714202293700990,7,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,46565410642011012714202293700990,7,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
LONG,46589960402011012515310524000290,1,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,46589960402011012515310524000290,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,46589960402011012515310524000290,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,46589960402011012515310524000290,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
SHORT,46589960402011012515310524000290,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,46589960402011012515310524000290,3,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,46589960402011012515310524000290,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
SHORT,46589960402011012515310524000290,4,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
LONG,46589960402011012515310524000290,4,EPC-H8,Add weather compensation controls to heating system.,LOW
LONG,46589960402011012515310524000290,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,46672580022011012713510760290381,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,46672580022011012713510760290381,1,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
MEDIUM,46672580022011012713510760290381,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
MEDIUM,46672580022011012713510760290381,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,46672580022011012713510760290381,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,46672580022011012713510760290381,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,46672580022011012713510760290381,3,EPC-H8,Add weather compensation controls to heating system.,LOW
LONG,46672580022011012713510760290381,4,EPC-R3,Consider installing solar water heating.,LOW
LONG,46672580022011012713510760290381,5,EPC-R4,Consider installing PV.,LOW
OTHER,49239810942011041312161022000940,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,HIGH
OTHER,49239810942011041312161022000940,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
OTHER,49239810942011041312161022000940,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
OTHER,49239810942011041312161022000940,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
OTHER,49239810942011041312161022000940,5,EPC-H6,Add local temperature control to the heating system.,MEDIUM
OTHER,49239810942011041312161022000940,6,EPC-H5,Add local time control to heating system.,LOW
OTHER,49239810942011041312161022000940,7,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
OTHER,49239810942011041312161022000940,8,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
OTHER,49239810942011041312161022000940,9,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
OTHER,49239810942011041312161022000940,10,EPC-R3,Consider installing solar water heating.,LOW
long,79fe8516b98c9fbb4c76f455934e5750233c52666aed574e915e1264149ac504,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
long,79fe8516b98c9fbb4c76f455934e5750233c52666aed574e915e1264149ac504,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
long,79fe8516b98c9fbb4c76f455934e5750233c52666aed574e915e1264149ac504,3,EPC-R4,Consider installing PV.,LOW
long,79fe8516b98c9fbb4c76f455934e5750233c52666aed574e915e1264149ac504,4,EPC-H8,Add weather compensation controls to heating system.,LOW
long,79fe8516b98c9fbb4c76f455934e5750233c52666aed574e915e1264149ac504,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
other,79fe8516b98c9fbb4c76f455934e5750233c52666aed574e915e1264149ac504,6,USER,Consider replacing T8 fluorescent lamps with LED lamps,LOW
medium,0eeb3a85e5726b7299555d5ebac5c52457b7f968c61e1e4a29c122b5da8d8fe8,1,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,0eeb3a85e5726b7299555d5ebac5c52457b7f968c61e1e4a29c122b5da8d8fe8,2,EPC-H7,Add optimum start/stop to the heating system.,LOW
long,0eeb3a85e5726b7299555d5ebac5c52457b7f968c61e1e4a29c122b5da8d8fe8,3,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,0eeb3a85e5726b7299555d5ebac5c52457b7f968c61e1e4a29c122b5da8d8fe8,4,EPC-R4,Consider installing PV.,LOW
long,0eeb3a85e5726b7299555d5ebac5c52457b7f968c61e1e4a29c122b5da8d8fe8,5,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
long,0eeb3a85e5726b7299555d5ebac5c52457b7f968c61e1e4a29c122b5da8d8fe8,6,EPC-H8,Add weather compensation controls to heating system.,LOW
other,0eeb3a85e5726b7299555d5ebac5c52457b7f968c61e1e4a29c122b5da8d8fe8,7,USER,Consider replacing T8 fluorescent lamps with LED lamps,LOW
short,14178d1b269b4bd8f9175b8718b653cb1046b0f1326c79c134023b81177f7458,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
long,14178d1b269b4bd8f9175b8718b653cb1046b0f1326c79c134023b81177f7458,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,14178d1b269b4bd8f9175b8718b653cb1046b0f1326c79c134023b81177f7458,3,EPC-R3,Consider installing solar water heating.,LOW
long,14178d1b269b4bd8f9175b8718b653cb1046b0f1326c79c134023b81177f7458,4,EPC-R4,Consider installing PV.,LOW
long,14178d1b269b4bd8f9175b8718b653cb1046b0f1326c79c134023b81177f7458,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
short,25999246086aeaa81db651eec6966ab166c6267bdcaa49d980c6f075b0946816,1,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,LOW
short,a125f0197affbe46a7d1e31fab9111d09d3c706b052bddadc73505198fefa822,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
short,a125f0197affbe46a7d1e31fab9111d09d3c706b052bddadc73505198fefa822,2,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
medium,a125f0197affbe46a7d1e31fab9111d09d3c706b052bddadc73505198fefa822,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
medium,a125f0197affbe46a7d1e31fab9111d09d3c706b052bddadc73505198fefa822,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
long,a125f0197affbe46a7d1e31fab9111d09d3c706b052bddadc73505198fefa822,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,a125f0197affbe46a7d1e31fab9111d09d3c706b052bddadc73505198fefa822,6,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
long,a125f0197affbe46a7d1e31fab9111d09d3c706b052bddadc73505198fefa822,7,EPC-R5,Consider installing an air source heat pump.,HIGH
long,a125f0197affbe46a7d1e31fab9111d09d3c706b052bddadc73505198fefa822,8,EPC-R1,Consider installing a ground source heat pump.,HIGH
long,a125f0197affbe46a7d1e31fab9111d09d3c706b052bddadc73505198fefa822,9,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
other,bd7d49f63d8484060154fd84828d36fa1fdb2705b814396166fb4f352e0c8429,1,USER,Consider replacing all non-LED lamps with LED lamps,MEDIUM
other,bd7d49f63d8484060154fd84828d36fa1fdb2705b814396166fb4f352e0c8429,2,USER,Consider installing a heat reclaim / recovery ventilation system,MEDIUM
other,bd7d49f63d8484060154fd84828d36fa1fdb2705b814396166fb4f352e0c8429,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
other,bd7d49f63d8484060154fd84828d36fa1fdb2705b814396166fb4f352e0c8429,4,EPC-R2,Consider installing building mounted wind turbine(s).,HIGH
other,bd7d49f63d8484060154fd84828d36fa1fdb2705b814396166fb4f352e0c8429,5,EPC-R3,Consider installing solar water heating.,HIGH
other,bd7d49f63d8484060154fd84828d36fa1fdb2705b814396166fb4f352e0c8429,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
other,bd7d49f63d8484060154fd84828d36fa1fdb2705b814396166fb4f352e0c8429,7,EPC-R5,Consider installing an air source heat pump.,HIGH
other,bd7d49f63d8484060154fd84828d36fa1fdb2705b814396166fb4f352e0c8429,8,EPC-R4,Consider installing PV.,HIGH
other,bd7d49f63d8484060154fd84828d36fa1fdb2705b814396166fb4f352e0c8429,9,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
short,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,MEDIUM
short,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,2,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
medium,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
medium,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
medium,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,5,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
medium,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,7,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
long,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,8,EPC-R5,Consider installing an air source heat pump.,HIGH
long,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,9,EPC-R1,Consider installing a ground source heat pump.,HIGH
long,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,10,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,0634a2b3ee20af8dc40617ffc97a45c290ba7a297f0e7ccfe140067a5bb9eed1,11,EPC-R3,Consider installing solar water heating.,LOW
long,4b0b0bcc17c5c2fdd87e47f3b6c1121f68a1e3576412ac74bfdc5364a1a95cdd,1,EPC-H2,Add time control to heating system.,LOW
long,4b0b0bcc17c5c2fdd87e47f3b6c1121f68a1e3576412ac74bfdc5364a1a95cdd,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,4b0b0bcc17c5c2fdd87e47f3b6c1121f68a1e3576412ac74bfdc5364a1a95cdd,3,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,4b0b0bcc17c5c2fdd87e47f3b6c1121f68a1e3576412ac74bfdc5364a1a95cdd,4,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,4b0b0bcc17c5c2fdd87e47f3b6c1121f68a1e3576412ac74bfdc5364a1a95cdd,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
long,7512d12f3a3b9412d92ccaae3bc7cc47c58d4900532c994e49b0dfb3962fedc7,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,LOW
long,7512d12f3a3b9412d92ccaae3bc7cc47c58d4900532c994e49b0dfb3962fedc7,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
short,766973177f6884cd7e7ca7c03d39acc4007aea4dc617f6a4442bba03b55a366f,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,LOW
long,766973177f6884cd7e7ca7c03d39acc4007aea4dc617f6a4442bba03b55a366f,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
long,766973177f6884cd7e7ca7c03d39acc4007aea4dc617f6a4442bba03b55a366f,3,EPC-H5,Add local time control to heating system.,LOW
long,766973177f6884cd7e7ca7c03d39acc4007aea4dc617f6a4442bba03b55a366f,4,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
long,766973177f6884cd7e7ca7c03d39acc4007aea4dc617f6a4442bba03b55a366f,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,766973177f6884cd7e7ca7c03d39acc4007aea4dc617f6a4442bba03b55a366f,6,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames. ,MEDIUM
other,766973177f6884cd7e7ca7c03d39acc4007aea4dc617f6a4442bba03b55a366f,7,USER,"Consider installing PIR or Occupancy Sensors in areas with intermittent and transient occupation, such as the toilet, workshop and corridor areas.",MEDIUM
other,766973177f6884cd7e7ca7c03d39acc4007aea4dc617f6a4442bba03b55a366f,8,USER,"Default electric room heaters have been chosen as no physical heating system was present at the time of assessment, consider investigation into a fixed heating system designed for the heating demand present.",MEDIUM
short,906363353760889059ef5ea2742c57334cb26be3f397c392332bfa7344166efd,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,LOW
short,906363353760889059ef5ea2742c57334cb26be3f397c392332bfa7344166efd,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
short,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
short,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,HIGH
short,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,3,EPC-H2,Add time control to heating system.,MEDIUM
short,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
medium,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,5,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
medium,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
medium,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,7,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
medium,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,8,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
medium,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,9,EPC-H5,Add local time control to heating system.,LOW
medium,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,10,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
medium,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,11,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
long,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,12,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,13,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames. ,MEDIUM
long,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,14,EPC-R5,Consider installing an air source heat pump.,HIGH
long,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,15,EPC-R3,Consider installing solar water heating.,LOW
long,80af48c0c116da8bc1f57c63673cd6dd1b298c5901985ebec17790a9da62f278,16,EPC-R4,Consider installing PV.,LOW
short,bb560c7cb79265579a4fe1650ff66a327160b3cfc5ab53a5584f5a4fc6fbacf7,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,MEDIUM
short,bb560c7cb79265579a4fe1650ff66a327160b3cfc5ab53a5584f5a4fc6fbacf7,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
short,bb560c7cb79265579a4fe1650ff66a327160b3cfc5ab53a5584f5a4fc6fbacf7,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,LOW
short,bb560c7cb79265579a4fe1650ff66a327160b3cfc5ab53a5584f5a4fc6fbacf7,4,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
long,bb560c7cb79265579a4fe1650ff66a327160b3cfc5ab53a5584f5a4fc6fbacf7,5,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
long,bb560c7cb79265579a4fe1650ff66a327160b3cfc5ab53a5584f5a4fc6fbacf7,6,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,bb560c7cb79265579a4fe1650ff66a327160b3cfc5ab53a5584f5a4fc6fbacf7,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
long,bb560c7cb79265579a4fe1650ff66a327160b3cfc5ab53a5584f5a4fc6fbacf7,8,EPC-H6,Add local temperature control to the heating system.,MEDIUM
long,bb560c7cb79265579a4fe1650ff66a327160b3cfc5ab53a5584f5a4fc6fbacf7,9,EPC-R3,Consider installing solar water heating.,LOW
short,acd309b5f2abc9a0dde39706b2b31c7c4ee6978618f35d0de37cb0daf360b77c,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
short,acd309b5f2abc9a0dde39706b2b31c7c4ee6978618f35d0de37cb0daf360b77c,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
short,acd309b5f2abc9a0dde39706b2b31c7c4ee6978618f35d0de37cb0daf360b77c,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
long,acd309b5f2abc9a0dde39706b2b31c7c4ee6978618f35d0de37cb0daf360b77c,4,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,acd309b5f2abc9a0dde39706b2b31c7c4ee6978618f35d0de37cb0daf360b77c,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,acd309b5f2abc9a0dde39706b2b31c7c4ee6978618f35d0de37cb0daf360b77c,6,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,acd309b5f2abc9a0dde39706b2b31c7c4ee6978618f35d0de37cb0daf360b77c,7,EPC-R3,Consider installing solar water heating.,LOW
long,acd309b5f2abc9a0dde39706b2b31c7c4ee6978618f35d0de37cb0daf360b77c,8,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
short,5052740a603545339cd0f5771e0590221a18705735728b8abf019fe2732806ec,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,HIGH
short,5052740a603545339cd0f5771e0590221a18705735728b8abf019fe2732806ec,2,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
medium,5052740a603545339cd0f5771e0590221a18705735728b8abf019fe2732806ec,3,EPC-H2,Add time control to heating system.,LOW
long,5052740a603545339cd0f5771e0590221a18705735728b8abf019fe2732806ec,4,EPC-H7,Add optimum start/stop to the heating system.,LOW
long,5052740a603545339cd0f5771e0590221a18705735728b8abf019fe2732806ec,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,5052740a603545339cd0f5771e0590221a18705735728b8abf019fe2732806ec,6,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,5052740a603545339cd0f5771e0590221a18705735728b8abf019fe2732806ec,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
long,5052740a603545339cd0f5771e0590221a18705735728b8abf019fe2732806ec,8,EPC-H6,Add local temperature control to the heating system.,LOW
other,5052740a603545339cd0f5771e0590221a18705735728b8abf019fe2732806ec,9,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
medium,577ad5a570d8b092a4ec19c8a52f365b8321af82a5e2f8acddee2f59c21bd04e,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,577ad5a570d8b092a4ec19c8a52f365b8321af82a5e2f8acddee2f59c21bd04e,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
long,577ad5a570d8b092a4ec19c8a52f365b8321af82a5e2f8acddee2f59c21bd04e,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,577ad5a570d8b092a4ec19c8a52f365b8321af82a5e2f8acddee2f59c21bd04e,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
long,577ad5a570d8b092a4ec19c8a52f365b8321af82a5e2f8acddee2f59c21bd04e,5,EPC-R4,Consider installing PV.,LOW
short,5f7dbc5f410377706209acfdef709d9010aa30aac1a680f1847f2ce74ae36ef0,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
long,5f7dbc5f410377706209acfdef709d9010aa30aac1a680f1847f2ce74ae36ef0,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
short,097546eea9c2ee077c85e7413cafbfe56db9f428da9f0357f9967041753894ad,1,EPC-W1,Install more efficient water heater.,MEDIUM
short,097546eea9c2ee077c85e7413cafbfe56db9f428da9f0357f9967041753894ad,2,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,097546eea9c2ee077c85e7413cafbfe56db9f428da9f0357f9967041753894ad,3,EPC-H2,Add time control to heating system.,LOW
short,097546eea9c2ee077c85e7413cafbfe56db9f428da9f0357f9967041753894ad,4,EPC-W2,Consider replacing HWS with point of use system.,MEDIUM
short,097546eea9c2ee077c85e7413cafbfe56db9f428da9f0357f9967041753894ad,5,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
medium,097546eea9c2ee077c85e7413cafbfe56db9f428da9f0357f9967041753894ad,6,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
medium,097546eea9c2ee077c85e7413cafbfe56db9f428da9f0357f9967041753894ad,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
